Date,Close,Date,Close,Date,Close
10/10/2016,2163.66,10/10/2016,120.16,10/10/2016,133.13
10/11/2016,2136.73,10/11/2016,119.55,10/11/2016,132.83
10/12/2016,2139.18,10/12/2016,119.74,10/12/2016,132.96
10/13/2016,2132.55,10/13/2016,120.03,10/13/2016,133.46
10/14/2016,2132.98,10/14/2016,119.36,10/14/2016,131.59
10/17/2016,2126.5,10/17/2016,119.68,10/17/2016,132.43
10/18/2016,2139.6,10/18/2016,120.42,10/18/2016,132.86
10/19/2016,2144.29,10/19/2016,121.11,10/19/2016,132.97
10/20/2016,2141.34,10/20/2016,120.74,10/20/2016,133.11
10/21/2016,2141.16,10/21/2016,120.83,10/21/2016,133.31
10/24/2016,2151.33,10/24/2016,120.56,10/24/2016,132.73
10/25/2016,2143.16,10/25/2016,121.47,10/25/2016,133.08
10/26/2016,2139.43,10/26/2016,120.79,10/26/2016,132.18
10/27/2016,2133.04,10/27/2016,121.01,10/27/2016,130.74
10/28/2016,2126.41,10/28/2016,121.58,10/28/2016,130.45
10/31/2016,2126.15,10/31/2016,121.94,10/31/2016,131.25
11/1/2016,2111.72,11/1/2016,122.73,11/1/2016,131.01
11/2/2016,2097.94,11/2/2016,123.64,11/2/2016,131.58
11/3/2016,2088.66,11/3/2016,124.3,11/3/2016,130.57
11/4/2016,2085.18,11/4/2016,124.39,11/4/2016,131.74
11/7/2016,2131.52,11/7/2016,122.15,11/7/2016,130.62
11/8/2016,2139.56,11/8/2016,121.64,11/8/2016,130.09
11/9/2016,2163.26,11/9/2016,121.56,11/9/2016,124.57
11/10/2016,2167.48,11/10/2016,119.75,11/10/2016,122.73
11/11/2016,2164.45,11/11/2016,117.1,11/11/2016,122.04
11/14/2016,2164.2,11/14/2016,116.11,11/14/2016,121.31
11/15/2016,2180.39,11/15/2016,117.12,11/15/2016,121.91
11/16/2016,2176.94,11/16/2016,116.77,11/16/2016,123.01
